106.51.226.49 - - [23/Jul/2016:12:50:33 +0000] "GET /favicon.ico HTTP/1.1" 404 1110 "http://melvyn.pythonanywhere.com/" "Mozilla/5.0 (Linux; Android 5.1.1; SM-J200G Build/LMY47X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36" "106.51.226.49"
66.249.64.170 - - [24/Jul/2016:03:55:41 +0000] "GET /robots.txt HTTP/1.1" 404 1108 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "66.249.64.170"
66.249.64.170 - - [24/Jul/2016:03:55:41 +0000] "GET /posts/ HTTP/1.1" 200 2005 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "66.249.64.170"
66.249.64.170 - - [24/Jul/2016:03:55:41 +0000] "GET /robots.txt HTTP/1.1" 404 1108 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "66.249.64.170"
66.249.64.170 - - [24/Jul/2016:03:55:41 +0000] "GET /posts/ HTTP/1.1" 200 2005 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "66.249.64.170"
66.249.64.170 - - [24/Jul/2016:03:55:41 +0000] "GET /robots.txt HTTP/1.1" 404 1108 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "66.249.64.170"
66.249.64.170 - - [24/Jul/2016:03:55:41 +0000] "GET /posts/ HTTP/1.1" 200 2005 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "66.249.64.170"
66.249.64.170 - - [24/Jul/2016:03:55:41 +0000] "GET /robots.txt HTTP/1.1" 404 1108 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "66.249.64.170"
66.249.64.170 - - [24/Jul/2016:03:55:41 +0000] "GET /posts/ HTTP/1.1" 200 2005 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "66.249.64.170"
66.249.64.170 - - [24/Jul/2016:03:55:41 +0000] "GET /robots.txt HTTP/1.1" 404 1108 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "66.249.64.170"
66.249.64.170 - - [24/Jul/2016:03:55:41 +0000] "GET /posts/ HTTP/1.1" 200 2005 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "66.249.64.170"
66.249.64.170 - - [24/Jul/2016:03:55:41 +0000] "GET /robots.txt HTTP/1.1" 404 1108 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "66.249.64.170"
66.249.64.170 - - [24/Jul/2016:03:55:41 +0000] "GET /posts/ HTTP/1.1" 200 2005 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "66.249.64.170"
66.249.64.170 - - [24/Jul/2016:03:55:41 +0000] "GET /robots.txt HTTP/1.1" 404 1108 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "66.249.64.170"
66.249.64.170 - - [24/Jul/2016:03:55:41 +0000] "GET /posts/ HTTP/1.1" 200 2005 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" "66.249.64.170"
107.77.97.51 - - [24/Jul/2016:05:37:17 +0000] "GET /static/img/home_illustration.png HTTP/1.1" 200 819937 "http://melvyn.pythonanywhere.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13F69 Safari/601.1" "107.77.97.51"
107.77.97.51 - - [24/Jul/2016:05:37:17 +0000] "GET /static/img/home_illustration.png HTTP/1.1" 200 819937 "http://melvyn.pythonanywhere.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_2 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13F69 Safari/601.1" "107.77.97.51"
